['Pasajero','tiempo_espera','tiempo_viaje','tiempo_transbordo','tiempo_total','
'],['passenger(183)','662.0','0.0','0.0','0.0','
'],['passenger(184)','662.0','0.0','0.0','0.0','
'],['passenger(185)','662.0','0.0','0.0','0.0','
'],['passenger(186)','662.0','0.0','0.0','0.0','
'],['passenger(187)','662.0','0.0','0.0','0.0','
'],['passenger(188)','662.0','0.0','0.0','0.0','
'],['passenger(189)','662.0','0.0','0.0','0.0','
'],['passenger(190)','662.0','0.0','0.0','0.0','
'],['passenger(191)','662.0','0.0','0.0','0.0','
'],['passenger(192)','662.0','0.0','0.0','0.0','
'],['passenger(193)','662.0','0.0','0.0','0.0','
'],['passenger(194)','662.0','0.0','0.0','0.0','
'],['passenger(195)','662.0','0.0','0.0','0.0','
'],['passenger(196)','662.0','0.0','0.0','0.0','
'],['passenger(197)','662.0','0.0','0.0','0.0','
'],['passenger(198)','662.0','0.0','0.0','0.0','
'],['passenger(199)','662.0','0.0','0.0','0.0','
'],['passenger(200)','662.0','0.0','0.0','0.0','
'],['passenger(201)','662.0','0.0','0.0','0.0','
'],['passenger(202)','662.0','0.0','0.0','0.0','
'],['passenger(203)','662.0','0.0','0.0','0.0','
'],['passenger(204)','662.0','0.0','0.0','0.0','
'],['passenger(205)','662.0','0.0','0.0','0.0','
'],['passenger(206)','662.0','0.0','0.0','0.0','
'],['passenger(207)','662.0','0.0','0.0','0.0','
'],['passenger(208)','662.0','0.0','0.0','0.0','
'],['passenger(209)','662.0','0.0','0.0','0.0','
'],['passenger(210)','662.0','0.0','0.0','0.0','
'],['passenger(211)','662.0','0.0','0.0','0.0','
'],['passenger(212)','662.0','0.0','0.0','0.0','
'],['passenger(213)','662.0','0.0','0.0','0.0','
'],['passenger(214)','662.0','0.0','0.0','0.0','
'],['passenger(215)','662.0','0.0','0.0','0.0','
'],['passenger(216)','662.0','0.0','0.0','0.0','
'],['passenger(217)','662.0','0.0','0.0','0.0','
'],['passenger(218)','662.0','0.0','0.0','0.0','
'],['passenger(219)','662.0','0.0','0.0','0.0','
'],['passenger(220)','662.0','0.0','0.0','0.0','
'],['passenger(221)','662.0','0.0','0.0','0.0','
'],['passenger(222)','662.0','0.0','0.0','0.0','
'],['passenger(223)','662.0','0.0','0.0','0.0','
'],['passenger(224)','662.0','0.0','0.0','0.0','
'],['passenger(225)','662.0','0.0','0.0','0.0','
'],['passenger(226)','662.0','0.0','0.0','0.0','
'],['passenger(227)','662.0','0.0','0.0','0.0','
'],['passenger(228)','662.0','0.0','0.0','0.0','
'],['passenger(229)','662.0','0.0','0.0','0.0','
'],['passenger(230)','662.0','0.0','0.0','0.0','
'],['passenger(231)','662.0','0.0','0.0','0.0','
']
