output
['Pasajero','tiempo_espera','tiempo_viaje','tiempo_transbordo','tiempo_total','
'],['passenger(269)','652.0','0.0','0.0','0.0','
'],['passenger(270)','652.0','0.0','0.0','0.0','
'],['passenger(271)','652.0','0.0','0.0','0.0','
'],['passenger(272)','652.0','0.0','0.0','0.0','
'],['passenger(273)','652.0','0.0','0.0','0.0','
'],['passenger(274)','652.0','0.0','0.0','0.0','
'],['passenger(275)','652.0','0.0','0.0','0.0','
'],['passenger(276)','652.0','0.0','0.0','0.0','
'],['passenger(277)','652.0','0.0','0.0','0.0','
'],['passenger(278)','652.0','0.0','0.0','0.0','
'],['passenger(279)','652.0','0.0','0.0','0.0','
'],['passenger(280)','652.0','0.0','0.0','0.0','
'],['passenger(281)','652.0','0.0','0.0','0.0','
'],['passenger(282)','652.0','0.0','0.0','0.0','
'],['passenger(283)','652.0','0.0','0.0','0.0','
'],['passenger(284)','652.0','0.0','0.0','0.0','
'],['passenger(285)','652.0','0.0','0.0','0.0','
'],['passenger(286)','652.0','0.0','0.0','0.0','
'],['passenger(287)','652.0','0.0','0.0','0.0','
'],['passenger(288)','652.0','0.0','0.0','0.0','
'],['passenger(289)','652.0','0.0','0.0','0.0','
'],['passenger(290)','652.0','0.0','0.0','0.0','
'],['passenger(291)','652.0','0.0','0.0','0.0','
'],['passenger(292)','652.0','0.0','0.0','0.0','
'],['passenger(293)','652.0','0.0','0.0','0.0','
'],['passenger(294)','652.0','0.0','0.0','0.0','
'],['passenger(295)','652.0','0.0','0.0','0.0','
'],['passenger(296)','652.0','0.0','0.0','0.0','
'],['passenger(297)','652.0','0.0','0.0','0.0','
'],['passenger(298)','652.0','0.0','0.0','0.0','
'],['passenger(299)','652.0','0.0','0.0','0.0','
'],['passenger(300)','652.0','0.0','0.0','0.0','
'],['passenger(301)','652.0','0.0','0.0','0.0','
'],['passenger(302)','652.0','0.0','0.0','0.0','
'],['passenger(303)','652.0','0.0','0.0','0.0','
'],['passenger(304)','652.0','0.0','0.0','0.0','
'],['passenger(305)','652.0','0.0','0.0','0.0','
'],['passenger(306)','652.0','0.0','0.0','0.0','
'],['passenger(307)','652.0','0.0','0.0','0.0','
'],['passenger(308)','652.0','0.0','0.0','0.0','
'],['passenger(309)','652.0','0.0','0.0','0.0','
'],['passenger(310)','652.0','0.0','0.0','0.0','
'],['passenger(311)','652.0','0.0','0.0','0.0','
'],['passenger(312)','652.0','0.0','0.0','0.0','
'],['passenger(313)','652.0','0.0','0.0','0.0','
'],['passenger(314)','652.0','0.0','0.0','0.0','
